"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2018 JL1)","2112-2122","6","5.8e-6","6.17","26.7","0.015","-6.50","-6.70","0","bK18J01L"
"(2022 BF)","2092-2117","20","4.8e-6","12.26","27.1","0.013","-6.50","-7.04","0","bK22B00F"
"(2023 UY3)","2080-2119","6","6.3e-6","4.55","26.9","0.014","-6.50","-7.00","0","bK23U03Y"
"(2008 CJ)","2106-2106","2","8.6e-6","8.07","27.3","0.012","-6.51","-6.60","0","bK08C00J"
"(2018 MC5)","2119-2121","2","1.3e-6","4.07","25.3","0.030","-6.51","-6.53","0","bK18M05C"
"(2007 EZ25)","2078-2100","7","4.2e-7","20.76","25.6","0.026","-6.51","-6.94","0","bK07E25Z"
"(2021 AH)","2043-2108","12","3.7e-6","21.45","28.5","0.007","-6.51","-6.57","0","bK21A00H"
"(2018 QE)","2046-2121","58","1.5e-5","4.16","27.8","0.009","-6.51","-7.15","0","bK18Q00E"
"(2012 CU)","2040-2100","3","9.8e-7","10.93","26.0","0.021","-6.51","-6.88","0","bK12C00U"
"(2017 RN16)","2060-2121","63","5.4e-5","8.14","29.1","0.005","-6.52","-6.68","0","bK17R16N"
"(2019 BO)","2055-2099","35","1.4e-5","7.28","28.1","0.008","-6.52","-7.14","0","bK19B00O"
"(2015 CL13)","2090-2106","6","7.5e-7","13.70","25.6","0.025","-6.52","-6.87","0","bK15C13L"
"(2021 XZ5)","2067-2122","11","1.7e-5","7.67","28.3","0.007","-6.52","-6.71","0","bK21X05Z"
"(2009 YR)","2060-2114","17","1.2e-5","3.12","28.0","0.009","-6.53","-6.87","0","bK09Y00R"
"(2021 PL132)","2086-2122","6","1.8e-5","12.63","28.5","0.007","-6.53","-6.55","0","bK21PD2L"
"(2014 HY198)","2034-2122","63","9.0e-5","6.14","29.6","0.004","-6.54","-7.20","0","bK14HJ8Y"
"(2023 OS3)","2077-2123","51","1.7e-5","4.54","27.7","0.010","-6.54","-7.16","0","bK23O03S"
"(2019 YM)","2041-2117","2","9.1e-7","17.75","26.0","0.022","-6.54","-6.62","0","bK19Y00M"
"(2010 TN55)","2086-2117","23","1.9e-6","25.31","27.0","0.013","-6.54","-7.27","0","bK10T55N"
"(2015 XX378)","2118-2118","1","3.2e-7","15.70","24.7","0.038","-6.54","-6.54","0","bK15Xb8X"
"(2017 TB)","2046-2122","148","5.2e-5","5.78","29.1","0.005","-6.55","-7.19","0","bK17T00B"
"(2020 PU1)","2047-2117","12","1.6e-6","7.77","26.5","0.017","-6.56","-6.96","0","bK20P01U"
"(2023 TD167)","2048-2123","107","6.4e-5","3.32","29.2","0.005","-6.56","-7.25","0","bK23TG7D"
"(1997 UA11)","2073-2073","2","3.1e-7","11.96","25.1","0.032","-6.56","-6.62","0","bJ97U11A"
"(2023 VH6)","2112-2112","1","1.3e-6","6.86","25.6","0.026","-6.56","-6.56","0","bK23V06H"
"(2017 QU34)","2083-2114","15","1.2e-5","14.48","28.4","0.007","-6.57","-6.81","0","bK17Q34U"
"(2022 YL8)","2083-2083","1","7.3e-7","18.02","26.1","0.020","-6.57","-6.57","0","bK22Y08L"
"(2014 WC201)","2098-2121","11","1.8e-6","11.27","26.1","0.020","-6.57","-7.01","0","bK14WK1C"
"(2023 QD2)","2062-2116","40","4.0e-6","7.60","26.9","0.014","-6.57","-7.39","0","bK23Q02D"
"(2008 OO1)","2107-2107","1","2.6e-7","12.96","24.6","0.041","-6.57","-6.57","0","bK08O01O"
"(2024 CN8)","2040-2123","128","3.3e-5","2.93","28.9","0.005","-6.57","-7.48","0","bK24C08N"
"(2022 MH)","2118-2118","3","7.8e-6","11.06","27.4","0.011","-6.57","-6.80","0","bK22M00H"
"(2017 RP16)","2065-2121","23","4.6e-6","10.33","27.2","0.012","-6.58","-7.04","0","bK17R16P"
"(2008 GV)","2055-2055","1","1.2e-8","19.67","23.0","0.084","-6.58","-6.58","0","bK08G00V"
"(2019 PO1)","2084-2122","37","2.0e-5","1.96","27.9","0.009","-6.58","-7.17","0","bK19P01O"
"(2022 YP2)","2112-2114","4","3.9e-7","14.35","25.0","0.034","-6.58","-6.71","0","bK22Y02P"
"(2021 FE2)","2100-2123","3","3.9e-6","10.39","27.0","0.014","-6.59","-6.60","0","bK21F02E"
"(2022 AE6)","2084-2105","2","7.1e-7","10.30","25.6","0.026","-6.60","-6.70","0","bK22A06E"
"(2017 DP109)","2057-2122","7","3.0e-6","12.41","26.9","0.014","-6.60","-6.92","0","bK17DA9P"
"(2021 VQ10)","2055-2122","26","2.7e-6","14.28","27.2","0.013","-6.60","-7.26","0","bK21V10Q"
"(2020 SN6)","2043-2122","346","2.7e-5","5.51","28.8","0.006","-6.61","-7.79","0","bK20S06N"
"(2020 BH3)","2059-2110","10","1.7e-6","7.13","26.1","0.021","-6.61","-7.22","0","bK20B03H"
"(2022 NX)","2088-2121","7","4.4e-6","4.90","26.6","0.016","-6.61","-6.95","0","bK22N00X"
"(2021 JZ5)","2075-2096","37","9.5e-6","16.08","28.3","0.007","-6.61","-6.91","0","bK21J05Z"
"(2001 HJ31)","2119-2122","2","1.1e-7","11.50","23.6","0.063","-6.61","-6.64","0","bK01H31J"
"(2017 QT1)","2050-2093","10","5.9e-7","20.29","26.8","0.015","-6.61","-6.76","0","bK17Q01T"
"(2022 JK)","2077-2093","3","9.8e-7","25.67","26.7","0.015","-6.61","-6.81","0","bK22J00K"
"(1993 UA)","2111-2111","3","8.5e-7","9.40","25.4","0.028","-6.61","-6.77","0","bJ93U00A"
"(2022 QN6)","2066-2117","16","2.0e-6","6.06","26.4","0.017","-6.61","-6.85","0","bK22Q06N"
"(2023 JA3)","2048-2123","58","7.6e-5","7.64","29.7","0.004","-6.61","-6.86","0","bK23J03A"
"(2014 MB6)","2075-2075","1","8.8e-7","13.07","26.2","0.019","-6.62","-6.62","0","bK14M06B"
"(2010 VQ98)","2109-2121","5","2.9e-5","1.00","28.2","0.008","-6.62","-6.70","0","bK10V98Q"
"(2023 CC3)","2043-2103","12","1.7e-6","6.92","26.9","0.014","-6.63","-6.91","0","bK23C03C"
"(2023 BZ3)","2078-2123","27","5.1e-5","6.56","29.1","0.005","-6.63","-7.08","0","bK23B03Z"
"(2020 PU3)","2109-2122","29","4.0e-6","9.54","26.8","0.015","-6.63","-6.90","0","bK20P03U"
"(2021 TJ15)","2056-2075","2","6.4e-6","12.19","28.4","0.007","-6.63","-6.63","0","bK21T15J"
"(2018 PA25)","2027-2118","45","9.5e-8","14.97","24.9","0.035","-6.63","-7.23","0","bK18P25A"
"(2015 FF36)","2073-2117","10","2.1e-6","8.87","26.5","0.017","-6.64","-6.92","0","bK15F36F"
"(2008 BC15)","2072-2094","2","9.3e-7","20.66","26.6","0.016","-6.64","-6.87","0","bK08B15C"
"(2018 VP6)","2088-2118","5","3.2e-6","12.05","27.2","0.013","-6.64","-6.88","0","bK18V06P"
"(2022 UQ20)","2109-2122","9","7.6e-6","8.50","27.3","0.012","-6.64","-6.78","0","bK22U20Q"
"(2020 QJ5)","2053-2111","10","2.4e-6","9.85","26.8","0.015","-6.64","-6.95","0","bK20Q05J"
"(2019 NF7)","2080-2080","1","9.8e-6","9.27","28.1","0.008","-6.64","-6.64","0","bK19N07F"
"(2002 VY91)","2112-2119","5","1.7e-6","9.19","26.0","0.021","-6.64","-6.75","0","bK02V91Y"
"(2021 UV1)","2111-2117","3","6.5e-6","10.59","27.4","0.011","-6.64","-6.75","0","bK21U01V"
"(2021 UA7)","2046-2059","3","2.5e-6","27.30","28.7","0.006","-6.64","-6.65","0","bK21U07A"
"(2023 KU2)","2064-2117","2","2.1e-6","14.30","27.2","0.012","-6.64","-6.68","0","bK23K02U"
"(2020 GZ1)","2040-2040","2","8.7e-8","28.24","26.0","0.021","-6.65","-6.68","0","bK20G01Z"
"(2014 QN266)","2078-2120","7","2.0e-6","2.85","26.2","0.019","-6.65","-6.79","0","bK14QQ6N"
"(2022 WQ6)","2074-2120","4","1.3e-6","13.06","26.4","0.018","-6.65","-6.86","0","bK22W06Q"
"(2023 BU7)","2068-2123","189","2.6e-4","1.01","30.7","0.003","-6.65","-7.13","0","bK23B07U"
"(2023 RK5)","2064-2123","55","4.1e-5","10.01","29.1","0.005","-6.65","-7.08","0","bK23R05K"
"(2014 LJ)","2060-2122","177","2.5e-5","3.62","28.5","0.007","-6.66","-7.82","0","bK14L00J"
"(2022 CU4)","2081-2122","102","7.0e-5","4.42","29.3","0.005","-6.66","-7.46","0","bK22C04U"
"(2018 LT5)","2066-2095","3","1.6e-7","19.05","25.0","0.034","-6.66","-6.95","0","bK18L05T"
"(2021 RG12)","2085-2122","15","5.6e-5","2.58","29.2","0.005","-6.66","-6.93","0","bK21R12G"
"(2019 QE7)","2097-2119","9","2.7e-6","10.19","26.7","0.015","-6.67","-7.04","0","bK19Q07E"
"(2021 FT1)","2097-2097","1","1.0e-7","19.40","24.5","0.043","-6.67","-6.67","0","bK21F01T"
"(2018 AU18)","2046-2121","34","3.1e-6","9.58","27.4","0.011","-6.67","-6.85","0","bK18A18U"
"(2006 BF56)","2092-2120","24","2.4e-5","26.15","29.6","0.004","-6.67","-7.19","0","bK06B56F"
"(2019 DG1)","2118-2118","2","3.5e-6","7.29","26.7","0.016","-6.67","-6.78","0","bK19D01G"
"(2022 WM9)","2086-2086","1","7.0e-7","10.27","25.8","0.024","-6.68","-6.68","0","bK22W09M"
"(2018 BC)","2083-2122","41","7.3e-5","2.03","29.4","0.004","-6.68","-7.69","0","bK18B00C"
"(2007 UT3)","2064-2119","8","6.2e-7","9.03","25.7","0.024","-6.68","-6.98","0","bK07U03T"
"(2018 BP6)","2074-2074","1","1.1e-7","14.22","24.5","0.042","-6.68","-6.68","0","bK18B06P"
"(2010 UR7)","2079-2120","9","3.2e-6","13.30","27.4","0.011","-6.68","-7.04","0","bK10U07R"
"(2017 HJ)","2073-2121","32","3.9e-6","14.83","27.5","0.011","-6.68","-7.54","0","bK17H00J"
"(2013 PS13)","2096-2120","4","2.7e-6","17.26","27.3","0.012","-6.69","-6.71","0","bK13P13S"
"(2021 WF3)","2074-2120","12","3.2e-5","11.41","29.4","0.004","-6.69","-6.92","0","bK21W03F"
"(2023 JK4)","2057-2061","3","1.2e-7","15.76","25.0","0.033","-6.69","-6.84","0","bK23J04K"
"(2016 EV84)","2056-2109","5","2.1e-6","7.41","26.8","0.015","-6.70","-6.82","0","bK16E84V"
"(2019 CM5)","2046-2118","14","8.3e-6","5.40","27.9","0.009","-6.70","-7.34","0","bK19C05M"
"(2012 HE31)","2046-2117","20","8.2e-7","10.60","26.0","0.022","-6.70","-7.47","0","bK12H31E"
"(2022 OZ5)","2110-2121","4","3.5e-7","11.85","24.9","0.035","-6.70","-7.12","0","bK22O05Z"
"(2018 PU23)","2070-2122","45","1.4e-5","1.78","28.1","0.008","-6.71","-7.33","0","bK18P23U"
"(2018 GS3)","2119-2119","1","5.2e-7","19.99","25.8","0.024","-6.71","-6.71","0","bK18G03S"
"(2012 SG58)","2060-2060","1","1.3e-8","15.89","23.1","0.083","-6.71","-6.71","0","bK12S58G"
"(2011 YC40)","2028-2050","9","4.6e-6","10.92","29.7","0.004","-6.71","-6.76","0","bK11Y40C"
"(2021 VP11)","2028-2118","93","2.0e-4","8.99","31.8","0.002","-6.71","-7.12","0","bK21V11P"
"(2005 UL6)","2068-2119","6","9.9e-8","12.38","24.5","0.042","-6.72","-6.97","0","bK05U06L"
"(2020 SN5)","2043-2118","10","2.6e-6","13.27","28.2","0.008","-6.72","-6.75","0","bK20S05N"
"(2017 RK2)","2083-2121","3","8.6e-6","7.30","28.0","0.009","-6.72","-6.72","0","bK17R02K"
"(2022 GF17)","2076-2122","9","1.6e-6","15.74","26.7","0.016","-6.73","-7.02","0","bK22G17F"
"(2016 FZ13)","2108-2122","14","2.2e-5","4.30","28.3","0.007","-6.73","-7.22","0","bK16F13Z"
"(2020 HF)","2067-2115","4","4.8e-7","7.76","25.2","0.031","-6.73","-7.08","0","bK20H00F"
"(2020 VK)","2064-2097","24","2.9e-6","20.45","27.8","0.009","-6.73","-7.31","0","bK20V00K"
"(2006 HE2)","2074-2121","28","2.2e-6","5.03","26.5","0.017","-6.74","-7.27","0","bK06H02E"
"(2015 XP)","2067-2067","1","4.8e-7","8.23","25.8","0.024","-6.74","-6.74","0","bK15X00P"
"(2023 SS5)","2070-2123","32","1.2e-5","9.91","28.3","0.008","-6.74","-7.14","0","bK23S05S"
"(2023 TY)","2048-2122","64","2.3e-5","13.06","29.1","0.005","-6.74","-7.31","0","bK23T00Y"
"(2019 VD)","2087-2121","13","4.3e-6","11.22","27.4","0.011","-6.75","-7.31","0","bK19V00D"
"(2020 HW7)","2044-2121","8","1.6e-6","8.74","27.2","0.012","-6.75","-6.84","0","bK20H07W"
"(1991 BA)","2027-2115","43","4.2e-6","16.72","28.8","0.006","-6.75","-7.08","0","bJ91B00A"
"(2018 FL29)","2031-2118","22","5.1e-5","11.98","30.0","0.003","-6.75","-7.24","0","bK18F29L"
"(2021 WZ1)","2068-2118","7","1.3e-6","13.45","26.7","0.016","-6.75","-7.04","0","bK21W01Z"
"(2020 YM1)","2091-2121","34","8.0e-5","3.01","29.6","0.004","-6.76","-7.14","0","bK20Y01M"
"(2010 NH)","2092-2101","2","5.7e-7","10.29","25.7","0.025","-6.76","-6.76","0","bK10N00H"
"(2021 CH37)","2114-2120","5","1.2e-5","7.33","27.9","0.009","-6.76","-7.00","0","bK21C37H"
"(2023 KT2)","2063-2120","11","8.9e-6","3.35","28.1","0.008","-6.76","-6.85","0","bK23K02T"
"(2014 TL)","2072-2121","13","6.6e-6","10.72","27.8","0.009","-6.77","-6.95","0","bK14T00L"
"(2017 SS12)","2071-2117","20","2.8e-6","10.09","27.1","0.013","-6.77","-7.30","0","bK17S12S"
"(2014 WA366)","2104-2121","6","3.4e-6","2.34","26.6","0.016","-6.77","-6.84","0","bK14Wa6A"
"(2013 UR1)","2043-2067","5","9.9e-7","21.66","27.8","0.009","-6.78","-6.92","0","bK13U01R"
"(2008 YF29)","2074-2090","2","1.0e-7","8.63","24.1","0.051","-6.78","-6.89","0","bK08Y29F"
"(2021 FU)","2077-2121","13","4.1e-6","9.15","27.4","0.011","-6.78","-7.17","0","bK21F00U"
"(2013 RR43)","2039-2091","5","9.6e-8","19.04","25.4","0.028","-6.78","-7.08","0","bK13R43R"
"(2022 YR4)","2068-2121","30","1.8e-5","7.55","28.7","0.006","-6.78","-7.29","0","bK22Y04R"
"(2015 FA345)","2056-2095","4","7.3e-8","9.79","24.0","0.053","-6.78","-7.26","0","bK15FY5A"
"(2017 HJ61)","2029-2029","1","1.3e-6","13.59","28.9","0.006","-6.78","-6.78","0","bK17H61J"
"(2005 BS1)","2041-2041","1","6.7e-7","12.36","27.3","0.012","-6.79","-6.79","0","bK05B01S"
"(2018 XF2)","2119-2119","2","1.4e-6","9.91","26.2","0.019","-6.79","-7.02","0","bK18X02F"
"(2020 QC)","2038-2041","2","5.6e-7","18.74","27.5","0.011","-6.79","-6.93","0","bK20Q00C"
"(2022 SJ28)","2116-2116","1","1.5e-6","9.69","26.3","0.019","-6.79","-6.79","0","bK22S28J"
"(2010 RM80)","2085-2122","33","1.2e-5","5.37","27.9","0.009","-6.80","-7.38","0","bK10R80M"
"(2017 BG92)","2072-2120","16","1.6e-5","5.33","28.7","0.006","-6.80","-6.92","0","bK17B92G"
"(2022 UU8)","2106-2121","14","1.3e-5","4.44","27.9","0.009","-6.80","-6.99","0","bK22U08U"
"(2024 CJ1)","2088-2123","13","1.5e-5","7.42","28.4","0.007","-6.80","-7.14","0","bK24C01J"
"(2020 YA1)","2093-2113","5","3.2e-6","3.32","26.7","0.015","-6.80","-6.87","0","bK20Y01A"
"(2021 WU4)","2056-2118","5","8.7e-8","20.44","24.8","0.036","-6.80","-6.94","0","bK21W04U"
"(2022 SW24)","2077-2114","7","7.7e-6","11.14","28.4","0.007","-6.80","-6.93","0","bK22S24W"
"(2019 GP21)","2039-2122","74","4.0e-5","10.82","29.8","0.004","-6.81","-7.41","0","bK19G21P"
"(2011 CF22)","2031-2122","181","4.8e-5","18.81","30.9","0.002","-6.81","-7.44","0","bK11C22F"
"(2021 OE1)","2091-2109","6","1.1e-6","9.90","26.2","0.019","-6.81","-7.15","0","bK21O01E"
"(2022 OR1)","2111-2121","10","1.2e-5","4.46","28.0","0.009","-6.82","-7.05","0","bK22O01R"
"(2008 WO2)","2065-2119","18","6.2e-5","6.11","29.8","0.004","-6.82","-7.16","0","bK08W02O"
"(2018 FX4)","2120-2120","1","2.6e-7","22.84","25.6","0.026","-6.82","-6.82","0","bK18F04X"
"(2019 FU1)","2090-2098","5","1.6e-6","19.81","27.3","0.012","-6.82","-6.99","0","bK19F01U"
"(2016 JN38)","2039-2122","51","5.8e-6","19.71","29.1","0.005","-6.82","-7.52","0","bK16J38N"
"(2018 HJ2)","2085-2114","2","2.1e-7","8.39","24.6","0.041","-6.83","-6.90","0","bK18H02J"
"(2004 DA53)","2111-2116","4","7.9e-6","9.35","27.9","0.009","-6.83","-6.83","0","bK04D53A"
"(2017 KQ27)","2080-2117","2","6.7e-7","10.94","25.8","0.023","-6.83","-6.91","0","bK17K27Q"
"(2009 ST171)","2066-2066","1","1.1e-6","9.82","26.8","0.015","-6.83","-6.83","0","bK09SH1T"
"(2020 CK2)","2062-2122","114","3.7e-5","5.19","29.3","0.005","-6.83","-7.74","0","bK20C02K"
"(2015 VK1)","2095-2118","10","1.0e-6","14.72","26.4","0.017","-6.83","-7.09","0","bK15V01K"
"(2021 EP3)","2105-2121","6","1.0e-6","19.94","26.7","0.016","-6.83","-7.16","0","bK21E03P"
"(2022 UM1)","2095-2118","5","3.4e-6","8.10","27.2","0.012","-6.83","-7.02","0","bK22U01M"
"(2022 VF)","2090-2121","22","8.2e-6","6.36","27.9","0.009","-6.83","-7.18","0","bK22V00F"
"(2021 XK3)","2046-2062","4","1.3e-6","10.80","27.2","0.012","-6.83","-7.12","0","bK21X03K"
"(2023 MQ)","2078-2122","39","4.5e-6","8.98","27.5","0.011","-6.83","-7.63","0","bK23M00Q"
"(2022 KX2)","2065-2122","49","6.0e-6","6.87","27.8","0.009","-6.84","-7.66","0","bK22K02X"
"(2006 UQ216)","2061-2120","23","4.5e-6","3.73","27.3","0.012","-6.84","-7.17","0","bK06UL6Q"
"(2017 DW119)","2046-2090","10","9.4e-7","8.65","26.6","0.016","-6.84","-7.28","0","bK17DB9W"
"(2024 CQ2)","2112-2117","4","4.4e-6","11.10","27.5","0.011","-6.84","-7.06","0","bK24C02Q"
"(2017 RJ2)","2106-2121","13","2.9e-6","15.89","27.5","0.011","-6.85","-7.35","0","bK17R02J"
"(2020 SY4)","2069-2112","5","2.1e-6","15.93","27.4","0.011","-6.85","-6.89","0","bK20S04Y"
"(2021 TG10)","2058-2101","3","3.1e-6","12.43","27.7","0.010","-6.85","-6.90","0","bK21T10G"
"(2017 RU2)","2093-2114","3","6.0e-7","7.73","25.8","0.024","-6.86","-6.86","0","bK17R02U"
"(2023 HL5)","2083-2122","14","4.9e-6","8.21","27.5","0.011","-6.86","-7.15","0","bK23H05L"
"(2003 YS70)","2065-2122","34","2.6e-5","3.16","28.8","0.006","-6.86","-7.15","0","bK03Y70S"
"(2012 BW13)","2072-2120","21","2.6e-6","11.68","27.2","0.012","-6.86","-7.31","0","bK12B13W"
"(2020 FA1)","2119-2119","1","2.1e-6","2.23","26.4","0.018","-6.86","-6.86","0","bK20F01A"
"(2021 MU)","2100-2121","8","5.0e-6","4.16","27.3","0.012","-6.86","-7.10","0","bK21M00U"
"(2016 CH30)","2100-2122","7","7.7e-6","5.47","27.8","0.009","-6.87","-7.01","0","bK16C30H"
"(2023 TJ4)","2075-2100","17","1.7e-5","12.49","29.2","0.005","-6.87","-7.07","0","bK23T04J"
"(2016 SU2)","2102-2120","11","4.3e-6","12.73","27.7","0.010","-6.88","-7.30","0","bK16S02U"
"(2015 HL182)","2077-2077","1","6.6e-9","21.27","22.8","0.094","-6.88","-6.88","0","bK15HI2L"
"(2022 WR4)","2101-2119","22","6.7e-5","8.21","29.9","0.004","-6.88","-7.06","0","bK22W04R"
"(2008 KT)","2091-2121","26","1.5e-5","2.98","28.2","0.008","-6.88","-7.45","0","bK08K00T"
"(2005 SP1)","2118-2118","1","2.6e-8","16.32","23.2","0.076","-6.88","-6.88","0","bK05S01P"
"(2022 NK)","2053-2117","10","2.4e-6","12.57","27.3","0.012","-6.88","-6.98","0","bK22N00K"
"(2019 QZ98)","2057-2123","56","2.5e-5","5.95","28.9","0.006","-6.88","-7.39","0","bK19Q98Z"
"(2021 CA6)","2071-2122","38","1.5e-5","6.38","28.5","0.007","-6.88","-7.50","0","bK21C06A"
"(2023 CA3)","2053-2120","9","9.0e-7","12.86","27.1","0.013","-6.88","-6.94","0","bK23C03A"
"(2023 CW2)","2099-2123","39","7.3e-5","1.82","29.7","0.004","-6.88","-7.66","0","bK23C02W"
"(2019 QU3)","2060-2122","19","1.7e-5","6.46","28.7","0.006","-6.88","-7.20","0","bK19Q03U"
"(2006 UJ185)","2052-2118","19","3.0e-6","15.45","27.9","0.009","-6.89","-7.46","0","bK06UI5J"
"(2021 PM1)","2056-2056","1","1.4e-7","9.84","25.3","0.029","-6.89","-6.89","0","bK21P01M"
"(2021 MV)","2056-2115","3","5.1e-7","9.71","26.4","0.017","-6.89","-6.90","0","bK21M00V"
"(2019 UC14)","2072-2097","2","1.7e-8","17.72","23.4","0.072","-6.89","-7.19","0","bK19U14C"
"(2021 GT)","2057-2117","6","5.4e-7","11.90","26.3","0.019","-6.89","-7.06","0","bK21G00T"
"(2007 EN88)","2094-2119","7","1.1e-6","12.13","26.4","0.017","-6.89","-7.15","0","bK07E88N"
"(2010 GV23)","2096-2121","7","7.0e-6","5.46","27.6","0.010","-6.90","-6.95","0","bK10G23V"
"(2018 LD1)","2100-2121","7","1.2e-6","10.89","26.4","0.018","-6.91","-6.94","0","bK18L01D"
"(2001 UD5)","2083-2083","1","5.6e-9","16.90","22.4","0.110","-6.91","-6.91","0","bK01U05D"
"(2015 VP64)","2069-2108","5","3.4e-6","20.96","28.3","0.007","-6.91","-6.92","0","bK15V64P"
"(2020 TD8)","2062-2113","7","1.6e-6","7.40","26.9","0.014","-6.91","-7.19","0","bK20T08D"
"(2019 NK1)","2089-2121","75","6.5e-5","8.05","29.9","0.004","-6.91","-7.35","0","bK19N01K"
"(2022 UF)","2101-2101","1","2.2e-6","10.72","27.2","0.013","-6.92","-6.92","0","bK22U00F"
"(2023 TQ3)","2101-2101","1","3.7e-7","10.97","25.6","0.026","-6.92","-6.92","0","bK23T03Q"
"(2013 QM48)","2091-2122","34","4.0e-6","7.47","27.4","0.011","-6.93","-7.72","0","bK13Q48M"
"(2013 XU21)","2055-2066","2","3.0e-7","11.04","26.2","0.020","-6.93","-6.94","0","bK13X21U"
"(2012 XL55)","2025-2082","4","4.9e-8","18.89","27.1","0.013","-6.93","-6.94","0","bK12X55L"
"(2008 HC38)","2029-2086","3","5.6e-8","14.05","26.1","0.020","-6.94","-6.96","0","bK08H38C"
"(2022 UW15)","2057-2086","14","3.5e-5","7.48","30.1","0.003","-6.94","-7.12","0","bK22U15W"
"(2020 TK3)","2099-2121","8","3.0e-6","11.25","27.4","0.011","-6.94","-7.43","0","bK20T03K"
"(2015 BY3)","2033-2109","11","8.9e-7","16.59","27.5","0.011","-6.94","-7.36","0","bK15B03Y"
"(2020 UC4)","2084-2121","9","7.7e-7","8.47","26.1","0.021","-6.94","-7.41","0","bK20U04C"
"(2020 WT4)","2062-2121","35","5.0e-6","3.82","27.8","0.010","-6.94","-7.55","0","bK20W04T"
"(2000 SZ162)","2070-2120","9","2.2e-6","4.15","27.1","0.013","-6.95","-7.34","0","bK00SG2Z"
"(2021 FP2)","2074-2122","46","6.9e-5","8.76","30.1","0.003","-6.95","-7.10","0","bK21F02P"
"(2022 GP)","2076-2120","12","5.1e-7","17.37","26.3","0.018","-6.95","-7.13","0","bK22G00P"
"(2022 QO)","2104-2108","3","1.2e-6","9.32","26.5","0.017","-6.95","-7.22","0","bK22Q00O"
"(2021 WL2)","2092-2118","3","1.9e-6","6.95","26.8","0.015","-6.95","-7.28","0","bK21W02L"
"(2013 BR15)","2100-2110","3","1.6e-7","14.08","25.1","0.032","-6.96","-7.06","0","bK13B15R"
"(2011 FA23)","2025-2120","19","4.6e-6","14.44","28.9","0.006","-6.96","-7.31","0","bK11F23A"
"(2017 HZ4)","2091-2118","3","6.6e-7","5.92","25.9","0.023","-6.96","-7.15","0","bK17H04Z"
"(2023 OR1)","2116-2116","2","1.0e-6","11.22","26.4","0.018","-6.96","-6.97","0","bK23O01R"
"(2018 FQ3)","2070-2114","14","9.6e-6","10.84","28.6","0.007","-6.97","-7.50","0","bK18F03Q"
"(2018 MC7)","2120-2120","2","1.2e-6","5.15","26.2","0.019","-6.97","-7.18","0","bK18M07C"
"(2020 QN4)","2065-2121","57","1.1e-5","7.53","28.6","0.006","-6.98","-7.78","0","bK20Q04N"
"(2022 EF1)","2040-2122","120","9.9e-6","10.64","28.9","0.005","-6.98","-7.85","0","bK22E01F"
"(2011 UD21)","2105-2116","3","1.6e-5","1.31","28.5","0.007","-6.98","-7.29","0","bK11U21D"
"(2021 GN10)","2075-2122","12","7.6e-6","12.05","28.4","0.007","-6.98","-7.06","0","bK21G10N"
"(2017 KC36)","2060-2061","3","1.1e-6","11.91","27.4","0.011","-6.98","-7.28","0","bK17K36C"
"(2022 RL)","2071-2114","8","8.7e-6","7.93","28.6","0.006","-6.98","-7.03","0","bK22R00L"
"(2006 UC64)","2069-2079","5","6.0e-8","20.13","25.0","0.034","-6.98","-7.20","0","bK06U64C"
"(2007 VH189)","2042-2042","2","3.9e-9","18.39","23.3","0.073","-6.99","-7.02","0","bK07VI9H"
"(2007 BB)","2076-2112","2","4.0e-6","4.44","27.8","0.009","-6.99","-6.99","0","bK07B00B"
"(2008 UC202)","2116-2119","5","1.1e-5","4.16","28.3","0.008","-7.00","-7.11","0","bK08UK2C"
"(2017 FW158)","2045-2120","24","5.7e-6","15.22","28.4","0.007","-7.00","-7.38","0","bK17FF8W"
"(2016 KO)","2104-2122","9","1.4e-6","7.19","26.5","0.017","-7.00","-7.34","0","bK16K00O"
"(2021 WM4)","2076-2090","9","1.7e-6","16.09","27.7","0.010","-7.00","-7.56","0","bK21W04M"
"(2021 XP2)","2071-2121","6","3.4e-7","7.49","25.5","0.027","-7.00","-7.45","0","bK21X02P"
"(2018 GG4)","2058-2070","2","2.1e-7","16.65","26.2","0.020","-7.01","-7.20","0","bK18G04G"
"(2011 EL40)","2073-2120","6","5.8e-7","17.68","26.5","0.017","-7.01","-7.18","0","bK11E40L"
"(2015 YM1)","2095-2122","15","8.7e-6","6.81","28.4","0.007","-7.02","-7.19","0","bK15Y01M"
"(2018 WJ)","2045-2116","7","5.3e-7","19.01","27.6","0.010","-7.02","-7.08","0","bK18W00J"
"(2012 TU231)","2111-2117","4","7.6e-7","9.97","26.2","0.020","-7.02","-7.24","0","bK12TN1U"
"(2021 CF1)","2077-2077","1","2.6e-7","14.17","26.0","0.021","-7.02","-7.02","0","bK21C01F"
"(2021 GR)","2077-2121","20","6.6e-6","7.05","28.2","0.008","-7.03","-7.52","0","bK21G00R"
"(2021 SF1)","2103-2121","9","3.0e-6","2.81","27.2","0.012","-7.03","-7.27","0","bK21S01F"
"(2024 AD)","2088-2124","14","1.1e-5","9.61","28.8","0.006","-7.03","-7.23","0","bK24A00D"
